Store Directory,,,,,,,,,,,,,
,( Last updated on : 8/7/2022 8:00:13 PM ),,,,,,,,,,,,
,,,,,,,,,,,,,
Store No.,,,Location,,,,,,Regional Director,District Manager,"Store 
Phone Number","Special
Services ",County
J,,,Mulberry Grove Plaza Shopping Center ,,,,,,David W. Currey ,Melissa Caldarella ,(352) 751 - 0301,Pharmacy,Marion 
0004,,,8780 S.e. 165th Mulberry Lane ,,,,,,,,,Liquor Store,
,,,The Villages ,,FL,,32162-5861,,,,,,
,,,,,,,,,,,,,
L,,,Shoppes At New Tampa ,,,,,,Ernest P. Helm ,Jennifer L. Young ,(813) 994 - 4566,Pharmacy,Pasco 
0006,,,1920 C.r. 581 ,,,,,,,,,,
,,,Wesley Chapel ,,FL,,33543-9262,,,,,,
,,,,,,,,,,,,,
M,,,Flagler Park Plaza ,,,,,,Jerry D. Reed ,Roger I. Paz ,(305) 266 - 0713,Pharmacy,Dade 
0010,,,8341 West Flagler Street ,,,,,,,,,,
,,,Miami ,,FL,,33144-2029,,,,,,
,,,,,,,,,,,,,
M,,,Pembroke Commons ,,,,,,Jamie W Laviolette ,Kristen C. Crapo ,(954) 433 - 4400,Pharmacy,Broward 
0012,,,600-b  North University Drive ,,,,,,,,,Liquor Store,
,,,Pembroke Pines ,,FL,,33024-6731,,,,,,
,,,,,,,,,,,,,
L,,,Citrus Tower Village ,,,,,,Ernest P. Helm ,David L. Sutton ,(352) 241 - 6670,Pharmacy,Lake 
0015,,,250 Citrus Tower Boulevard ,,,,,,,,,,
,,,Clermont ,,FL,,34711-2790,,,,,,
,,,,,,,,,,,,,
C,,,Kennerly Crossing ,,,,,,Charles N. Gainer ,Dexter S. Osha Ii ,(803) 407 - 0127,Pharmacy,Richland 
0017,,,7320 Broad River Road ,,,,,,,,,,
,,,Irmo ,,SC,,29063-9656,,,,,,
,,,,,,,,,,,,,
J,,,Duval Station Centre ,,,,,,Stephan M. Walker ,David P. Hanegan ,(904) 696 - 3093,Pharmacy,Duval 
0019,,,"731 Duval Station Road, Suite 4 ",,,,,,,,,,
,,,Jacksonville ,,FL,,32218-0804,,,,,,
,,,,,,,,,,,,,
M,,,Publix At Glade Crossing ,,,,,,Jamie W Laviolette ,Frank S. Ferraro ,(954) 217 - 0022,Pharmacy,Broward 
0021,,,2465 Glades Circle ,,,,,,,,,,
,,,Weston ,,FL,,33327-2204,,,,,,
,,,,,,,,,,,,,
L,,,Publix At Northridge ,,,,,,Marsha C. Singh ,Scott M. Kiesel ,(941) 926 - 8297,Pharmacy,Sarasota 
0022,,,5100 Clark Road ,,,,,,,,,Liquor Store,
,,,Sarasota ,,FL,,34233-3226,,,,,,
,,,,,,,,,,,,,
M,,,Riverbridge Centre ,,,,,,Timothy J. Redding ,Danny Barber ,(561) 641 - 4500,Pharmacy,Palm Beach 
0023,,,6790 Forest Hill Boulevard ,,,,,,,,,Liquor Store,
,,,Greenacres ,,FL,,33413-3351,,,,,,
,,,,,,,,,,,,,
M,,,Hammocks Town Center ,,,,,,Jerry D. Reed ,Shane C. Nelson ,(305) 382 - 3002,Pharmacy,Dade 
0024,,,10201 Hammocks Blvd   Suite 111 ,,,,,,,,,,
,,,Miami ,,FL,,33196-3780,,,,,,
,,,,,,,,,,,,,
A,,,Cruse Marketplace ,,,,,,Jasmin Ovcina ,Courtney A. Holberg ,(770) 781 - 5601,Pharmacy,Forsyth 
0026,,,1735 Buford Highway ,,,,,,,,,,
,,,Cumming ,,GA,,30041-1266,,,,,,
,,,,,,,,,,,,,
L,,,East Towne Center ,,,,,,Ernest P. Helm ,David L. Sutton ,(407) 877 - 1545,Pharmacy,Lake 
0027,,,13900 C.r. 455 ,,,,,,,,,Liquor Store,
,,,Clermont ,,FL,,34711-9052,,,,,,
,,,,,,,,,,,,,
L,,,University Village ,,,,,,Joseph V. Taylor ,Jeffrey M. Stilwell ,(727) 822 - 1125,Pharmacy,Pinellas 
0028,,,250 3rd Street South ,,,,,,,,,,
,,,St. Petersburg ,,FL,,33701-4235,,,,,,
,,,,,,,,,,,,,
M,,,Doral Park Shopping Center ,,,,,,Jerry D. Reed ,Carlos R Uz ,(305) 591 - 2145,Pharmacy,Dade 
0031,,,9755 N.w. 41st Street ,,,,,,,,,,
,,,Doral ,,FL,,33178-2381,,,,,,
,,,,,,,,,,,,,
L,,,Shops At Hammock Cove ,,,,,,Marsha C. Singh ,Julian A. Agollari ,(239) 774 - 1072,Pharmacy,Collier 
0032,,,4370 Thomasson Drive ,,,,,,,,,,
,,,Naples ,,FL,,34112-6725,,,,,,
,,,,,,,,,,,,,
A,,,Highland Plaza ,,,,,,Aissata Deme ,John P. Watterson ,(770) 578 - 6000,Pharmacy,Cobb 
0033,,,3605 Sandy Plains Road  Ste 200 ,,,,,,,,,,
,,,Marietta ,,GA,,30066-3066,,,,,,
,,,,,,,,,,,,,
C,,,Five Forks Plaza ,,,,,,Charles N. Gainer ,Donald T. Calabrese ,(864) 234 - 3860,Pharmacy,Greenville 
0035,,,2700 Woodruff Road ,,,,,,,,,,
,,,Simpsonville ,,SC,,29681-4804,,,,,,
,,,,,,,,,,,,,
A,,,Freehome Village ,,,,,,Jasmin Ovcina ,Ryan K. Meissner ,(678) 455 - 0112,Pharmacy,Cherokee 
0042,,,12424 Cumming Highway ,,,,,,,,,,
,,,Canton ,,GA,,30115-7778,,,,,,
,,,,,,,,,,,,,
M,,,Tropicaire Shopping Center ,,,,,,Jerry D. Reed ,Roger I. Paz ,(305) 266 - 1950,Pharmacy,Dade 
0044,,,7805 Sw 40th Street (bird Road) ,,,,,,,,,,
,,,Miami ,,FL,,33155-3547,,,,,,
,,,,,,,,,,,,,
A,,,Decatur Commons ,,,,,,Thomas E. Sayers ,Sean A. Franklin ,(256) 301 - 0023,Pharmacy,Morgan 
0045,,,"1605 Beltline Road, S.w. ",,,,,,,,,,
,,,Decatur ,,AL,,35601-5591,,,,,,
,,,,,,,,,,,,,
A,,,Lanier Commons ,,,,,,Jasmin Ovcina ,Ryan K. Meissner ,(678) 455 - 0610,Pharmacy,Forsyth 
0049,,,3480 Keith Bridge Road ,,,,,,,,,,
,,,Cumming ,,GA,,30041-5568,,,,,,
,,,,,,,,,,,,,
M,,,Southdale Shopping Center ,,,,,,Timothy J. Redding ,Danny Barber ,(561) 832 - 1661,Pharmacy,Palm Beach 
0050,,,828 Southern Blvd. ,,,,,,,,,,
,,,West Palm Beach ,,FL,,33405-2530,,,,,,
,,,,,,,,,,,,,
M,,,Douglas Grand ,,,,,,Jerry D. Reed ,Chadi M. Majzoub ,(305) 445 - 3221,Pharmacy,Dade 
0051,,,1500 Douglas Road ,,,,,,,,,,
,,,Coral Gables ,,FL,,33134-4108,,,,,,
,,,,,,,,,,,,,
M,,,Sheridan Plaza ,,,,,,Jamie W Laviolette ,Kristen C. Crapo ,(954) 987 - 6331,Pharmacy,Broward 
0053,,,5211 Sheridan Street ,,,,,,,,,Liquor Store,
,,,Hollywood ,,FL,,33021-3344,,,,,,
,,,,,,,,,,,,,
M,,,Publix At Miami River ,,,,,,Jerry D. Reed ,Paul A. Acosta ,(305) 860 - 9477,Pharmacy,Dade 
0054,,,311 S.w.  7th Street ,,,,,,,,,,
,,,Miami ,,FL,,33130-2917,,,,,,
,,,,,,,,,,,,,
M,,,Greenwood Shopping Center ,,,,,,Timothy J. Redding ,Danny Barber ,(561) 965 - 8700,Pharmacy,Palm Beach 
0055,,,1700 South Congress Avenue ,,,,,,,,,,
,,,Palm Springs ,,FL,,33461-2140,,,,,,
,,,,,,,,,,,,,
M,,,Venetian Isle Shopping Center ,,,,,,Jamie W Laviolette ,John M. Kalis ,(954) 786 - 3056,Pharmacy,Broward 
0056,,,3700 N  Federal Hwy ,,,,,,,,,,
,,,Lighthouse Point ,,FL,,33064-6610,,,,,,
,,,,,,,,,,,,,
L,,,Daniels Crossing ,,,,,,Marsha C. Singh ,Mackenzie D. Mast ,(239) 768 - 2101,Pharmacy,Lee 
0059,,,"6900 Daniels Parkway, Suite 19 ",,,,,,,,,,
,,,Ft. Myers ,,FL,,33912-1586,,,,,,
,,,,,,,,,,,,,
J,,,Forty East Shopping Center ,,,,,,David W. Currey ,Darren T. Steffy ,(352) 671 - 3443,Pharmacy,Marion 
0061,,,3450 East Silver Springs Boulevard ,,,,,,,,,Liquor Store,
,,,Ocala ,,FL,,34470-6406,,,,,,
,,,,,,,,,,,,,
J,,,Winter Springs Town Center ,,,,,,Wyatte L. Osteen ,Abraham E. Gonzalez ,(407) 327 - 9725,Pharmacy,Seminole 
0062,,,1160 State Road 434 ,,,,,,,,,,
